t_unix,in_flight,waiting,admitted,completed,upstream_errors,rejected_cap_full,rejected_queue_full,rejected_queue_timeout,t_mono
1789188569.025,0,0,22377,22377,0,0,0,0,34185.026
1789188574.027,0,0,22377,22377,0,0,0,0,34190.027
1789188579.028,49,0,22488,22439,0,0,0,0,34195.028
1789188584.030,76,0,22620,22544,0,0,0,0,34200.030
1789188589.032,40,0,22723,22683,0,0,0,0,34205.032
1789188594.034,54,0,22850,22796,0,0,0,0,34210.035
1789188596.554,53,0,22978,22925,0,0,0,0,34215.035
1789188601.555,68,0,23110,23042,0,0,0,0,34220.037
1789188606.557,85,0,23243,23158,0,0,0,0,34225.038
1789188611.557,79,0,23361,23282,0,0,0,0,34230.039
1789188616.559,73,0,23485,23412,0,0,0,0,34235.040
1789188621.561,96,0,23625,23529,0,0,0,0,34240.043
1789188624.087,84,0,23747,23663,0,0,0,0,34245.048
1789188629.090,82,0,23878,23796,0,0,0,0,34250.050
1789188634.092,43,0,23989,23946,0,0,0,0,34255.053
1789188639.093,73,0,24123,24050,0,0,0,0,34260.054
1789188644.097,76,0,24251,24175,0,0,0,0,34265.057
1789188649.100,88,0,24379,24291,0,0,0,0,34270.061
1789188651.623,72,0,24496,24424,0,0,0,0,34275.066
1789188656.626,45,0,24609,24564,0,0,0,0,34280.068
1789188661.628,28,0,24710,24682,0,0,0,0,34285.070
1789188666.630,50,0,24829,24779,0,0,0,0,34290.072
1789188671.648,53,0,24951,24898,0,0,0,0,34295.090
1789188676.649,51,0,25066,25015,0,0,0,0,34300.092
1789188681.652,34,0,25175,25141,0,0,0,0,34305.095
1789188684.185,54,0,25305,25251,0,0,0,0,34310.108
1789188689.198,80,0,25439,25359,0,0,0,0,34315.121
1789188694.202,62,0,25556,25494,0,0,0,0,34320.125
1789188699.226,68,0,25684,25616,0,0,0,0,34325.149
1789188704.230,39,0,25789,25750,0,0,0,0,34330.153
1789188709.237,50,0,25915,25865,0,0,0,0,34335.160
1789188711.764,37,0,26019,25982,0,0,0,0,34340.167
1789188716.775,50,0,26147,26097,0,0,0,0,34345.179
1789188721.780,43,0,26261,26218,0,0,0,0,34350.183
1789188726.791,72,0,26392,26320,0,0,0,0,34355.195
1789188731.801,41,0,26501,26460,0,0,0,0,34360.205
1789188736.822,56,0,26623,26567,0,0,0,0,34365.226
1789188741.853,70,0,26754,26684,0,0,0,0,34370.257
1789188744.388,85,0,26882,26797,0,0,0,0,34375.271
1789188749.391,50,0,26991,26941,0,0,0,0,34380.274
1789188754.413,81,0,27132,27051,0,0,0,0,34385.296
1789188759.438,39,0,27233,27194,0,0,0,0,34390.321
1789188764.443,52,0,27362,27310,0,0,0,0,34395.326
1789188769.447,54,0,27487,27433,0,0,0,0,34400.330
1789188771.970,45,0,27598,27553,0,0,0,0,34405.335
1789188776.982,29,0,27706,27677,0,0,0,0,34410.347
1789188781.993,26,0,27816,27790,0,0,0,0,34415.358
1789188787.015,42,0,27929,27887,0,0,0,0,34420.380
1789188792.118,50,0,28052,28002,0,0,0,0,34425.483
1789188797.156,25,0,28154,28129,0,0,0,0,34430.521
1789188802.164,37,0,28269,28232,0,0,0,0,34435.529
1789188804.686,51,0,28368,28317,0,0,0,0,34440.531
1789188809.702,58,0,28490,28432,0,0,0,0,34445.547
1789188814.710,54,0,28611,28557,0,0,0,0,34450.555
1789188819.724,52,0,28729,28677,0,0,0,0,34455.569
1789188824.740,60,0,28848,28788,0,0,0,0,34460.585
1789188829.789,39,0,28957,28918,0,0,0,0,34465.634
1789188832.318,44,0,29077,29033,0,0,0,0,34470.643
1789188837.320,33,0,29178,29145,0,0,0,0,34475.645
1789188842.323,37,0,29284,29247,0,0,0,0,34480.648
1789188847.343,55,0,29409,29354,0,0,0,0,34485.668
1789188852.349,40,0,29520,29480,0,0,0,0,34490.674
1789188857.350,0,0,29520,29520,0,0,0,0,34495.675
1789188859.915,0,0,29520,29520,0,0,0,0,34500.722
1789188864.976,0,0,29520,29520,0,0,0,0,34505.783
1789188869.977,0,0,29520,29520,0,0,0,0,34510.784
1789188874.978,0,0,29520,29520,0,0,0,0,34515.786
