t_unix,in_flight,waiting,admitted,completed,upstream_errors,rejected_cap_full,rejected_queue_full,rejected_queue_timeout,t_mono
1789159145.513,0,0,3830,3830,0,0,0,0,2325.636
1789159150.523,0,0,3830,3830,0,0,0,0,2330.646
1789159155.526,128,0,4086,3958,0,0,0,0,2335.649
1789159158.045,128,0,4214,4086,0,0,0,0,2340.650
1789159163.047,128,0,4342,4214,0,0,0,0,2345.652
1789159168.048,128,0,4470,4342,0,0,0,0,2350.653
1789159173.049,128,0,4726,4598,0,0,0,0,2355.654
1789159178.051,128,0,4854,4726,0,0,0,0,2360.656
1789159183.052,128,0,4982,4854,0,0,0,0,2365.657
1789159188.054,128,0,5173,5045,0,0,0,0,2370.659
1789159190.561,128,0,5366,5238,0,0,0,0,2375.660
1789159195.563,128,0,5494,5366,0,0,0,0,2380.662
1789159200.564,128,0,5622,5494,0,0,0,0,2385.663
1789159205.565,128,0,5867,5739,0,0,0,0,2390.665
1789159210.566,128,0,6006,5878,0,0,0,0,2395.666
1789159215.567,128,0,6134,6006,0,0,0,0,2400.667
1789159218.086,128,0,6262,6134,0,0,0,0,2405.669
1789159223.087,128,0,6518,6390,0,0,0,0,2410.670
1789159228.088,128,0,6646,6518,0,0,0,0,2415.671
1789159233.089,128,0,6774,6646,0,0,0,0,2420.673
1789159238.091,128,0,6961,6833,0,0,0,0,2425.674
1789159243.092,128,0,7158,7030,0,0,0,0,2430.675
1789159248.093,128,0,7286,7158,0,0,0,0,2435.677
1789159250.614,128,0,7414,7286,0,0,0,0,2440.677
1789159255.615,128,0,7637,7509,0,0,0,0,2445.678
1789159260.616,128,0,7798,7670,0,0,0,0,2450.679
1789159265.617,128,0,7926,7798,0,0,0,0,2455.681
1789159270.618,128,0,8054,7926,0,0,0,0,2460.682
1789159275.621,128,0,8310,8182,0,0,0,0,2465.685
1789159278.119,128,0,8438,8310,0,0,0,0,2470.686
1789159283.121,128,0,8566,8438,0,0,0,0,2475.688
1789159288.122,115,0,8704,8589,0,0,0,0,2480.689
1789159293.123,128,0,8950,8822,0,0,0,0,2485.690
1789159298.126,128,0,9078,8950,0,0,0,0,2490.693
1789159303.555,128,0,9206,9078,0,0,0,0,2496.122
1789159306.060,128,0,9462,9334,0,0,0,0,2501.123
1789159311.064,128,0,9590,9462,0,0,0,0,2506.127
1789159316.065,128,0,9718,9590,0,0,0,0,2511.128
1789159321.067,122,0,9849,9727,0,0,0,0,2516.130
1789159326.068,128,0,10102,9974,0,0,0,0,2521.131
1789159331.073,128,0,10230,10102,0,0,0,0,2526.136
1789159336.074,128,0,10358,10230,0,0,0,0,2531.137
1789159338.596,128,0,10487,10359,0,0,0,0,2536.140
1789159343.597,0,0,10530,10530,0,0,0,0,2541.141
1789159348.598,0,0,10530,10530,0,0,0,0,2546.142
1789159353.600,0,0,10530,10530,0,0,0,0,2551.144
1789159358.602,0,0,10530,10530,0,0,0,0,2556.146
1789159363.604,0,0,10530,10530,0,0,0,0,2561.148
1789159366.125,0,0,10530,10530,0,0,0,0,2566.149
1789159371.126,0,0,10530,10530,0,0,0,0,2571.150
1789159376.127,0,0,10530,10530,0,0,0,0,2576.151
