t_unix,in_flight,waiting,admitted,completed,upstream_errors,rejected_cap_full,rejected_queue_full,rejected_queue_timeout,t_mono
1789168289.926,0,0,1325,1325,0,0,0,0,12227.794
1789168294.987,0,0,1325,1325,0,0,0,0,12232.856
1789168297.637,16,0,1373,1357,0,0,0,0,12237.985
1789168302.638,19,0,1428,1409,0,0,0,0,12242.986
1789168307.639,19,0,1489,1470,0,0,0,0,12247.987
1789168312.646,11,0,1531,1520,0,0,0,0,12252.994
1789168317.664,31,0,1592,1561,0,0,0,0,12258.012
1789168322.665,15,0,1641,1626,0,0,0,0,12263.013
1789168325.504,18,0,1696,1678,0,0,0,0,12268.334
1789168330.584,13,0,1757,1744,0,0,0,0,12273.413
1789168335.761,18,0,1805,1787,0,0,0,0,12278.590
1789168340.861,11,0,1848,1837,0,0,0,0,12283.690
1789168345.884,18,0,1892,1874,0,0,0,0,12288.714
1789168350.929,20,0,1948,1928,0,0,0,0,12293.758
1789168356.137,22,0,1998,1976,0,0,0,0,12298.966
1789168358.750,21,0,2060,2039,0,0,0,0,12304.057
1789168363.805,11,0,2102,2091,0,0,0,0,12309.112
1789168368.888,18,0,2146,2128,0,0,0,0,12314.196
1789168374.135,15,0,2194,2179,0,0,0,0,12319.443
1789168379.166,8,0,2227,2219,0,0,0,0,12324.474
1789168384.259,23,0,2286,2263,0,0,0,0,12329.566
1789168386.811,14,0,2332,2318,0,0,0,0,12334.601
1789168392.069,19,0,2388,2369,0,0,0,0,12339.859
1789168397.110,21,0,2435,2414,0,0,0,0,12344.900
1789168402.241,17,0,2487,2470,0,0,0,0,12350.031
1789168407.274,13,0,2530,2517,0,0,0,0,12355.064
1789168412.601,29,0,2595,2566,0,0,0,0,12360.390
1789168415.167,16,0,2642,2626,0,0,0,0,12365.436
1789168420.346,22,0,2694,2672,0,0,0,0,12370.615
1789168425.389,19,0,2743,2724,0,0,0,0,12375.657
1789168430.410,17,0,2790,2773,0,0,0,0,12380.679
1789168435.438,12,0,2827,2815,0,0,0,0,12385.707
1789168440.641,24,0,2876,2852,0,0,0,0,12390.910
1789168445.668,19,0,2929,2910,0,0,0,0,12395.937
1789168448.230,14,0,2966,2952,0,0,0,0,12400.981
1789168453.243,21,0,3022,3001,0,0,0,0,12405.994
1789168458.479,25,0,3077,3052,0,0,0,0,12411.230
1789168463.492,32,0,3140,3108,0,0,0,0,12416.244
1789168468.564,29,0,3200,3171,0,0,0,0,12421.315
1789168473.565,23,0,3261,3238,0,0,0,0,12426.316
1789168476.343,26,0,3320,3294,0,0,0,0,12431.575
1789168481.346,17,0,3369,3352,0,0,0,0,12436.578
1789168486.448,18,0,3423,3405,0,0,0,0,12441.679
1789168491.485,27,0,3481,3454,0,0,0,0,12446.717
1789168496.780,12,0,3525,3513,0,0,0,0,12452.012
1789168501.801,20,0,3577,3557,0,0,0,0,12457.032
1789168504.395,17,0,3622,3605,0,0,0,0,12462.106
1789168509.428,22,0,3671,3649,0,0,0,0,12467.139
1789168514.431,21,0,3720,3699,0,0,0,0,12472.142
1789168519.446,21,0,3771,3750,0,0,0,0,12477.158
1789168524.487,23,0,3820,3797,0,0,0,0,12482.199
1789168529.735,14,0,3864,3850,0,0,0,0,12487.446
1789168534.762,27,0,3928,3901,0,0,0,0,12492.473
1789168537.284,15,0,3981,3966,0,0,0,0,12497.477
1789168542.308,26,0,4030,4004,0,0,0,0,12502.501
1789168547.583,26,0,4087,4061,0,0,0,0,12507.776
1789168552.615,20,0,4130,4110,0,0,0,0,12512.808
1789168557.738,20,0,4179,4159,0,0,0,0,12517.931
1789168562.756,17,0,4228,4211,0,0,0,0,12522.949
1789168565.590,31,0,4290,4259,0,0,0,0,12528.264
1789168570.630,12,0,4336,4324,0,0,0,0,12533.303
1789168575.720,0,0,4336,4336,0,0,0,0,12538.394
1789168580.733,0,0,4336,4336,0,0,0,0,12543.407
1789168585.734,0,0,4336,4336,0,0,0,0,12548.408
