t_unix,in_flight,waiting,admitted,completed,upstream_errors,rejected_cap_full,rejected_queue_full,rejected_queue_timeout,t_mono
1789193132.896,0,0,300,300,0,0,0,0,39128.320
1789193137.898,0,0,300,300,0,0,0,0,39133.322
1789193142.899,8,0,309,301,0,0,0,0,39138.323
1789193147.901,8,0,338,330,0,0,0,0,39143.325
1789193152.905,8,0,369,361,0,0,0,0,39148.330
1789193155.412,8,0,396,388,0,0,0,0,39153.338
1789193160.416,8,0,427,419,0,0,0,0,39158.343
1789193165.434,8,0,452,444,0,0,0,0,39163.360
1789193170.448,8,0,480,472,0,0,0,0,39168.375
1789193175.459,8,0,509,501,0,0,0,0,39173.385
1789193180.460,8,0,537,529,0,0,0,0,39178.386
1789193182.961,8,0,566,558,0,0,0,0,39183.391
1789193187.963,8,0,593,585,0,0,0,0,39188.393
1789193192.964,8,0,624,616,0,0,0,0,39193.394
1789193197.968,8,0,652,644,0,0,0,0,39198.398
1789193202.974,8,0,682,674,0,0,0,0,39203.404
1789193207.976,8,0,712,704,0,0,0,0,39208.406
1789193212.983,8,0,742,734,0,0,0,0,39213.413
1789193215.482,8,0,771,763,0,0,0,0,39218.414
1789193220.483,8,0,801,793,0,0,0,0,39223.416
1789193225.485,8,0,827,819,0,0,0,0,39228.418
1789193230.486,8,0,857,849,0,0,0,0,39233.419
1789193235.487,8,0,882,874,0,0,0,0,39238.420
1789193240.489,8,0,914,906,0,0,0,0,39243.421
1789193242.986,8,0,942,934,0,0,0,0,39248.423
1789193248.016,8,0,967,959,0,0,0,0,39253.452
1789193253.020,8,0,994,986,0,0,0,0,39258.456
1789193258.044,8,0,1023,1015,0,0,0,0,39263.480
1789193263.076,8,0,1051,1043,0,0,0,0,39268.512
1789193268.077,8,0,1080,1072,0,0,0,0,39273.513
1789193273.080,8,0,1109,1101,0,0,0,0,39278.517
1789193275.595,8,0,1137,1129,0,0,0,0,39283.522
1789193280.632,8,0,1165,1157,0,0,0,0,39288.558
1789193285.640,8,0,1194,1186,0,0,0,0,39293.566
1789193290.711,8,0,1222,1214,0,0,0,0,39298.637
1789193295.736,8,0,1250,1242,0,0,0,0,39303.662
1789193300.770,8,0,1279,1271,0,0,0,0,39308.697
1789193303.336,8,0,1308,1300,0,0,0,0,39313.750
1789193308.349,8,0,1335,1327,0,0,0,0,39318.763
1789193313.370,8,0,1361,1353,0,0,0,0,39323.784
1789193318.395,8,0,1389,1381,0,0,0,0,39328.809
1789193323.397,8,0,1416,1408,0,0,0,0,39333.811
1789193328.399,8,0,1443,1435,0,0,0,0,39338.813
1789193333.401,8,0,1473,1465,0,0,0,0,39343.815
1789193338.402,8,0,1501,1493,0,0,0,0,39348.816
1789193343.403,8,0,1529,1521,0,0,0,0,39353.817
1789193348.404,8,0,1556,1548,0,0,0,0,39358.818
1789193349.752,8,0,1583,1575,0,0,0,0,39363.820
1789193354.754,8,0,1611,1603,0,0,0,0,39368.822
1789193359.755,7,0,1637,1630,0,0,0,0,39373.823
1789193364.756,8,0,1667,1659,0,0,0,0,39378.824
1789193369.758,8,0,1694,1686,0,0,0,0,39383.826
1789193374.759,8,0,1724,1716,0,0,0,0,39388.828
1789193377.289,8,0,1750,1742,0,0,0,0,39393.838
1789193382.295,8,0,1780,1772,0,0,0,0,39398.843
1789193387.304,8,0,1808,1800,0,0,0,0,39403.852
1789193392.309,8,0,1833,1825,0,0,0,0,39408.858
1789193397.316,7,0,1860,1853,0,0,0,0,39413.864
1789193402.358,0,0,1860,1860,0,0,0,0,39418.906
1789193407.377,0,0,1860,1860,0,0,0,0,39423.926
