t_unix,in_flight,waiting,admitted,completed,upstream_errors,rejected_cap_full,rejected_queue_full,rejected_queue_timeout,t_mono
1789178388.819,0,0,2996,2996,0,0,0,0,23168.113
1789178393.827,0,0,2996,2996,0,0,0,0,23173.121
1789178398.830,9,0,3018,3009,0,0,0,0,23178.125
1789178403.832,8,0,3048,3040,0,0,0,0,23183.126
1789178408.833,8,0,3073,3065,0,0,0,0,23188.127
1789178413.834,9,0,3104,3095,0,0,0,0,23193.128
1789178418.836,1,0,3123,3122,0,0,0,0,23198.130
1789178421.356,3,0,3142,3139,0,0,0,0,23203.131
1789178426.357,3,0,3160,3157,0,0,0,0,23208.132
1789178431.358,11,0,3188,3177,0,0,0,0,23213.133
1789178436.360,5,0,3214,3209,0,0,0,0,23218.134
1789178441.361,12,0,3240,3228,0,0,0,0,23223.136
1789178446.362,7,0,3271,3264,0,0,0,0,23228.137
1789178448.880,6,0,3290,3284,0,0,0,0,23233.138
1789178453.882,6,0,3315,3309,0,0,0,0,23238.140
1789178458.884,7,0,3340,3333,0,0,0,0,23243.142
1789178463.885,6,0,3363,3357,0,0,0,0,23248.143
1789178468.887,9,0,3390,3381,0,0,0,0,23253.145
1789178473.888,13,0,3417,3404,0,0,0,0,23258.145
1789178476.391,7,0,3436,3429,0,0,0,0,23263.146
1789178481.392,10,0,3468,3458,0,0,0,0,23268.147
1789178486.394,5,0,3488,3483,0,0,0,0,23273.149
1789178491.395,7,0,3509,3502,0,0,0,0,23278.151
1789178496.397,10,0,3544,3534,0,0,0,0,23283.152
1789178501.404,6,0,3570,3564,0,0,0,0,23288.159
1789178506.407,6,0,3594,3588,0,0,0,0,23293.162
1789178508.926,8,0,3616,3608,0,0,0,0,23298.163
1789178513.931,14,0,3656,3642,0,0,0,0,23303.168
1789178518.933,4,0,3679,3675,0,0,0,0,23308.169
1789178523.934,13,0,3712,3699,0,0,0,0,23313.170
1789178528.935,5,0,3732,3727,0,0,0,0,23318.172
1789178533.936,13,0,3771,3758,0,0,0,0,23323.173
1789178536.458,3,0,3794,3791,0,0,0,0,23328.174
1789178541.459,6,0,3817,3811,0,0,0,0,23333.175
1789178546.461,10,0,3843,3833,0,0,0,0,23338.177
1789178551.465,7,0,3863,3856,0,0,0,0,23343.181
1789178556.467,8,0,3886,3878,0,0,0,0,23348.183
1789178561.474,7,0,3915,3908,0,0,0,0,23353.190
1789178566.475,6,0,3932,3926,0,0,0,0,23358.191
1789178568.997,3,0,3953,3950,0,0,0,0,23363.195
1789178573.998,3,0,3972,3969,0,0,0,0,23368.196
1789178578.999,7,0,3998,3991,0,0,0,0,23373.197
1789178584.000,9,0,4023,4014,0,0,0,0,23378.198
1789178589.001,4,0,4045,4041,0,0,0,0,23383.199
1789178594.006,8,0,4077,4069,0,0,0,0,23388.203
1789178596.531,6,0,4099,4093,0,0,0,0,23393.209
1789178601.535,9,0,4117,4108,0,0,0,0,23398.213
1789178606.536,6,0,4132,4126,0,0,0,0,23403.215
1789178611.540,8,0,4155,4147,0,0,0,0,23408.219
1789178616.542,9,0,4182,4173,0,0,0,0,23413.220
1789178621.544,13,0,4210,4197,0,0,0,0,23418.223
1789178626.546,4,0,4235,4231,0,0,0,0,23423.224
1789178629.067,4,0,4254,4250,0,0,0,0,23428.226
1789178634.068,8,0,4282,4274,0,0,0,0,23433.227
1789178639.070,9,0,4305,4296,0,0,0,0,23438.229
1789178644.079,10,0,4323,4313,0,0,0,0,23443.238
1789178649.088,8,0,4359,4351,0,0,0,0,23448.247
1789178654.090,6,0,4380,4374,0,0,0,0,23453.249
1789178656.611,7,0,4405,4398,0,0,0,0,23458.250
1789178661.612,3,0,4424,4421,0,0,0,0,23463.251
1789178666.613,0,0,4424,4424,0,0,0,0,23468.252
