t_unix,in_flight,waiting,admitted,completed,upstream_errors,rejected_cap_full,rejected_queue_full,rejected_queue_timeout,t_mono
1789160314.366,0,0,1325,1325,0,0,0,0,3591.175
1789160316.894,0,0,1325,1325,0,0,0,0,3596.184
1789160321.898,25,0,1374,1349,0,0,0,0,3601.188
1789160326.899,21,0,1421,1400,0,0,0,0,3606.190
1789160331.901,22,0,1468,1446,0,0,0,0,3611.192
1789160336.903,21,0,1508,1487,0,0,0,0,3616.194
1789160341.904,12,0,1547,1535,0,0,0,0,3621.195
1789160346.905,24,0,1600,1576,0,0,0,0,3626.196
1789160349.428,27,0,1649,1622,0,0,0,0,3631.197
1789160354.429,20,0,1688,1668,0,0,0,0,3636.198
1789160359.432,26,0,1744,1718,0,0,0,0,3641.201
1789160364.433,17,0,1787,1770,0,0,0,0,3646.202
1789160369.433,27,0,1836,1809,0,0,0,0,3651.202
1789160374.435,21,0,1882,1861,0,0,0,0,3656.204
1789160376.960,19,0,1922,1903,0,0,0,0,3661.211
1789160381.962,26,0,1971,1945,0,0,0,0,3666.213
1789160386.963,26,0,2021,1995,0,0,0,0,3671.214
1789160391.964,23,0,2078,2055,0,0,0,0,3676.215
1789160396.965,27,0,2128,2101,0,0,0,0,3681.216
1789160401.971,24,0,2188,2164,0,0,0,0,3686.222
1789160406.973,28,0,2248,2220,0,0,0,0,3691.224
1789160411.977,19,0,2292,2273,0,0,0,0,3696.228
1789160416.985,20,0,2334,2314,0,0,0,0,3701.235
1789160421.986,24,0,2384,2360,0,0,0,0,3706.237
1789160423.334,28,0,2436,2408,0,0,0,0,3711.238
1789160428.335,24,0,2484,2460,0,0,0,0,3716.239
1789160433.337,25,0,2544,2519,0,0,0,0,3721.241
1789160438.338,23,0,2591,2568,0,0,0,0,3726.242
1789160443.339,27,0,2641,2614,0,0,0,0,3731.243
1789160448.340,22,0,2695,2673,0,0,0,0,3736.244
1789160450.862,24,0,2751,2727,0,0,0,0,3741.245
1789160455.863,22,0,2796,2774,0,0,0,0,3746.246
1789160460.864,20,0,2850,2830,0,0,0,0,3751.247
1789160465.865,31,0,2899,2868,0,0,0,0,3756.248
1789160470.866,31,0,2953,2922,0,0,0,0,3761.249
1789160475.867,22,0,2999,2977,0,0,0,0,3766.250
1789160480.868,24,0,3039,3015,0,0,0,0,3771.251
1789160483.387,25,0,3086,3061,0,0,0,0,3776.252
1789160488.389,20,0,3132,3112,0,0,0,0,3781.254
1789160493.391,28,0,3179,3151,0,0,0,0,3786.256
1789160498.392,23,0,3234,3211,0,0,0,0,3791.257
1789160503.393,24,0,3282,3258,0,0,0,0,3796.258
1789160508.394,21,0,3334,3313,0,0,0,0,3801.259
1789160510.914,26,0,3381,3355,0,0,0,0,3806.260
1789160515.918,20,0,3415,3395,0,0,0,0,3811.264
1789160520.924,33,0,3476,3443,0,0,0,0,3816.270
1789160525.925,18,0,3514,3496,0,0,0,0,3821.271
1789160530.927,26,0,3566,3540,0,0,0,0,3826.273
1789160535.929,23,0,3615,3592,0,0,0,0,3831.275
1789160540.934,31,0,3674,3643,0,0,0,0,3836.280
1789160543.455,30,0,3730,3700,0,0,0,0,3841.281
1789160548.458,23,0,3776,3753,0,0,0,0,3846.284
1789160553.461,24,0,3825,3801,0,0,0,0,3851.287
1789160558.462,32,0,3891,3859,0,0,0,0,3856.288
1789160563.465,25,0,3944,3919,0,0,0,0,3861.291
1789160568.472,27,0,4006,3979,0,0,0,0,3866.298
1789160570.993,22,0,4051,4029,0,0,0,0,3871.300
1789160575.997,20,0,4095,4075,0,0,0,0,3876.304
1789160580.998,20,0,4136,4116,0,0,0,0,3881.305
1789160585.999,26,0,4189,4163,0,0,0,0,3886.306
1789160591.000,29,0,4238,4209,0,0,0,0,3891.307
1789160596.001,26,0,4302,4276,0,0,0,0,3896.308
1789160601.002,10,0,4336,4326,0,0,0,0,3901.309
1789160603.771,0,0,4336,4336,0,0,0,0,3906.559
1789160608.781,0,0,4336,4336,0,0,0,0,3911.568
1789160613.786,0,0,4336,4336,0,0,0,0,3916.574
